Name,Year
Down by Law,1986
Permanent Vacation,1980
Green Room,2015
A Walk to Remember,2002
The Animatrix,2003
The Handmaiden,2016
Brazil,1985
An American Werewolf in London,1981
Hollywood Ending,2002
A Ghost Story,2017
Antichrist,2009
Vanishing Point,1971
American Graffiti,1973
To Live and Die in L.A.,1985
The Driver,1978
Youth,2015
Bullitt,1968
Mad Max,1979
Lost Highway,1997
Do the Right Thing,1989
The Red Shoes,1948
The Florida Project,2017
The Nightmare Before Christmas,1993
"I, Daniel Blake",2016
Good Burger,1997
Cloverfield,2008
Fruitvale Station,2013
The Human Condition I: No Greater Love,1959
Copenhagen,2014
Funeral Parade of Roses,1969
Old Yeller,1957
The Duke of Burgundy,2014
Heaven Knows What,2014
Paterson,2016
The Shape of Water,2017
Primal Fear,1996
Candy,2006
Rashomon,1950
Metropolis,1927
Bring Me the Head of Alfredo Garcia,1974
The Holy Mountain,1973
ATL,2006
Wild Strawberries,1957
Un Chien Andalou,1929
Happy Together,1997
El Topo,1970
Wild at Heart,1990
Cinderella Man,2005
The French Connection,1971
Battleship Potemkin,1925
The Passion of Anna,1969
Fitzcarraldo,1982
Battle Royale,2000
On the Waterfront,1954
The Discreet Charm of the Bourgeoisie,1972
The Last Laugh,1924
Scarface,1932
Persona,1966
The Deer Hunter,1978
Coffee and Cigarettes,2003
Only Lovers Left Alive,2013
Woyzeck,1979
Return to the 36th Chamber,1980
Throne of Blood,1957
The Light Between Oceans,2016
Phantom of the Paradise,1974
The Inauguration of the Pleasure Dome,1954
Stranger Than Paradise,1984
Comrades: Almost a Love Story,1996
The Seventh Seal,1957
The Friends of Eddie Coyle,1973
The 36th Chamber of Shaolin,1978
Malcolm X,1992
WarGames,1983
Rosemary's Baby,1968
Unbreakable,2000
The Five Venoms,1978
Hellraiser,1987
Sonatine,1993
Ed Wood,1994
Legendary Weapons of China,1982
Pather Panchali,1955
Five Fingers of Death,1972
Elephant,2003
Charulata,1964
Crippled Avengers,1978
Heathers,1988
The Clan of the White Lotus,1980
Lawless,2012
The Hero,1966
The World of Apu,1959
The Big City,1963
Aparajito,1956
Kid with the Golden Arm,1979
Master of the Flying Guillotine,1976
Fury,2014
Heroes of the East,1978
Executioners from Shaolin,1977
Eight Diagram Pole Fighter,1984
Boudu Saved from Drowning,1932
Bulletproof,1996
"Crouching Tiger, Hidden Dragon",2000
Tyson,2008
Hostiles,2017
Johnny Guitar,1954
Andrei Rublev,1966
Shoplifters,2018
You Ain't Seen Nothin' Yet,2012
"Night Is Short, Walk on Girl",2017
Yi Yi,2000
Mishima: A Life in Four Chapters,1985
Close-Up,1990
Shaolin Soccer,2001
Taipei Story,1985
Love Exposure,2008
Lost and Beautiful,2015
Blade of the Immortal,2017
Montparnasse BienvenÃ_e,2017
Chronicle of a Summer,1961
Body Double,1984
Certified Copy,2010
eXistenZ,1999
Histoire(s) du CinÃ©ma,1989
Suburra,2015
The Graduate,1967
Beverly Hills Cop,1984
Snowtown,2011
The Babadook,2014
Chopper,2000
Killing Them Softly,2012
Miami Vice,2006
Calibre,2018
Katie Says Goodbye,2016
Irreversible,2002
La JetÃ©e,1962
Secret Sunshine,2007
And Then There Were None,1945
Charade,1963
Jules and Jim,1962
The 400 Blows,1959
Alice Doesn't Live Here Anymore,1974
The Witch,2015
To Catch a Thief,1955
Stalker,1979
My Own Private Idaho,1991
The Trouble with Harry,1955
Breakfast at Tiffany's,1961
The Wrong Man,1956
The Lady Vanishes,1938
Spellbound,1945
Child's Play,1988
Under the Silver Lake,2018
Summer 1993,2017
Minding the Gap,2018
Leave No Trace,2018
Suspicion,1941
Life Itself,2018
The Truth,1960
Blindspotting,2018
American Animals,2018
The Road,2009
Little Children,2006
Zoe,2018
Oasis,2002
Burning,2018
Poetry,2010
Ã€ Nos Amours,1983
Hearts Beat Loud,2018
Peppermint Candy,1999
A Prayer Before Dawn,2017
Happiness,1998
Garden State,2004
Skate Kitchen,2018
The Killer,1989
Lilya 4-ever,2002
Christiane F.,1981
The Kindergarten Teacher,2018
The Ring,2002
Once,2007
Love and Death,1975
Double Lover,2017
Point Blank,2010
The Young Girls of Rochefort,1967
House of Tolerance,2011
BPM (Beats per Minute),2017
In the Fade,2017
A Girl Walks Home Alone at Night,2014
Loveless,2017
Let the Sunshine In,2017
Revenge,2017
The Umbrellas of Cherbourg,1964
Weekend,1967
The Leopard,1963
Godzilla,1954
Mon Oncle,1958
Outlaw King,2018
La CiÃ©naga,2001
Orpheus,1950
Clouds of Sils Maria,2014
Army of Shadows,1969
Thunder Road,2018
The Last Picture Show,1971
Mustang,2015
Lola,1961
World on a Wire,1973
